"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"SEBEWAING TOWNSHIP LIBRARY",48759,4038,1,0,0,0.88,0.95,1.83,103018,2641,0,147794,-9,9714,107912,0,8754,1716,25000,1744,19594,19594,29,1390,1362,1825,-83.4513,43.7326,31166
"DELTA TOWNSHIP DISTRICT LIBRARY",48917,32799,1,0,4,9.9,5.85,15.75,1493659,21454,0,1599650,629837,88582,1718406,48664,0,2808,157355,29832,277526,294128,801,17154,24897,49724,-84.6203,42.74682,109826
"ASHLEY DISTRICT LIBRARY",48806,3248,1,0,0,0.75,0.13,0.88,65138,2251,0,68139,-9,6275,23312,2803,26793,1308,13763,635,8478,8478,48,210,4686,914,-84.4741,43.18672,40599
"PATMOS LIBRARY",49427,7034,1,0,0,3.6,1.3,4.9,162425,7512,0,186607,91978,20001,188070,40000,2555,1912,25224,4562,86083,90725,120,2242,973,5755,-85.8433,42.82608,290494
"ALLEN PARK PUBLIC LIBRARY",48101,28210,1,0,1.68,1.68,8.88,10.56,693359,20687,0,725450,336485,101148,657344,0,16519,2461,250755,5351,90152,149648,434,4237,13599,4438,-83.2179,42.24968,1753893
"MELVINDALE PUBLIC LIBRARY",48122,10715,1,0,1.41,1.95,0.54,2.49,197984,7857,0,217090,75000,10510,156466,0,0,1825,8116,2179,15119,15119,66,894,6438,610,-83.1892,42.27981,1753893
"RIVER ROUGE PUBLIC LIBRARY",48218,7903,1,0,1.25,1.25,0.33,1.58,157500,5479,0,327789,-9,4876,172802,0,56995,1572,15756,1797,7165,7205,45,1217,5419,725,-83.1336,42.2723,1753893
"TRENTON VETERANS MEMORIAL LIBRARY",48183,72726,1,0,4,5,5.13,10.13,1041870,53332,0,1152927,348242,99101,757136,0,196,3182,228432,17405,163980,168892,208,2959,19322,8460,-83.2055,42.14419,1753893
"ECORSE PUBLIC LIBRARY",48229,9512,1,0,0.73,0.73,0.73,1.46,198945,6000,0,211745,-9,34520,220603,0,0,1342,6963,2155,9935,9935,10,42,3010,399,-83.1422,42.24836,1753893
"FRUITPORT DISTRICT LIBRARY",49415,13598,1,0,0.28,0.68,0.53,1.21,362889,1524,0,369137,-9,122780,203673,0,1858,2077,9492,1416,32310,32310,35,547,542,10593,-86.1554,43.12436,173588
"MARENISCO TOWNSHIP LIBRARY",49947,1727,1,0,0.13,1.11,0.73,1.84,93109,1212,0,98679,-9,12577,101919,0,10387,936,9435,934,12809,12809,95,1214,1814,970,-89.6944,46.38243,15096
